pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1804.08545,qwen-plus,naive,53.6,59.4,100.0,500,268,155,92,99.7,98.6,,61,10674,7185,0.0229,True
1806.01506,qwen-plus,contract,94.3,100.0,100.0,263,248,49,49,100.0,99.5,,43,5753,3889,0.0124,True
1806.01506,qwen-plus,naive,62.0,55.1,100.0,263,163,49,27,94.5,100.0,,43,5076,3590,0.0112,True
1803.10122,qwen-plus,contract,96.0,98.4,100.0,1767,1697,188,185,99.8,98.1,,185,22031,13921,0.0455,True
1803.10122,qwen-plus,naive,68.5,23.9,100.0,1767,1210,188,45,99.0,72.3,,185,18332,11991,0.0386,True
1803.04397,qwen-plus,contract,97.4,99.7,100.0,1975,1924,622,620,99.9,99.8,,171,26969,16473,0.0545,True
1803.04397,qwen-plus,naive,50.7,39.9,100.0,1975,1002,622,248,98.0,93.7,,171,20713,13631,0.0438,True
1807.02776,qwen-plus,contract,86.6,100.0,100.0,216,187,32,32,100.0,99.2,,57,8127,5493,0.0175,True
1807.02776,qwen-plus,naive,53.2,50.0,100.0,216,115,32,16,100.0,100.0,,57,7420,5014,0.016,True
1804.00055,qwen-plus,contract,97.9,97.0,100.0,3107,3043,1144,1110,99.1,97.6,,191,29857,20747,0.0654,True
1804.00055,qwen-plus,naive,45.1,14.6,100.0,3107,1402,1144,167,99.4,95.1,,191,20670,13774,0.0441,True
1805.03886,qwen-plus,contract,97.5,99.8,100.0,1245,1214,519,518,100.0,99.9,,63,23503,14734,0.0483,True
1805.03886,qwen-plus,naive,34.2,12.9,100.0,1245,426,519,67,93.5,41.1,,63,15446,11248,0.0349,True
1808.03273,qwen-plus,contract,90.5,92.0,100.0,275,249,25,23,100.0,100.0,,418,20143,9543,0.0352,True
1808.03273,qwen-plus,naive,64.4,32.0,100.0,275,177,25,8,99.5,100.0,,418,18486,9205,0.0332,True
1807.11094,qwen-plus,contract,98.8,99.8,100.0,1264,1249,417,416,100.0,100.0,,171,18554,11123,0.0371,True
1807.11094,qwen-plus,naive,73.1,72.7,100.0,1264,924,417,303,98.9,98.9,,171,15001,9721,0.0314,True
1806.07161,qwen-plus,contract,97.9,99.3,100.0,3084,3018,728,723,99.8,99.2,,272,27408,17411,0.0567,True
1806.07161,qwen-plus,naive,58.6,27.9,100.0,3084,1807,728,203,99.4,92.5,,272,20531,14000,0.0444,True
1808.07940,qwen-plus,contract,98.8,99.6,100.0,2071,2047,281,280,100.0,99.9,,137,18590,12619,0.0401,True
1808.07940,qwen-plus,naive,76.2,31.0,100.0,2071,1578,281,87,99.4,88.2,,137,13878,10366,0.0318,True
1808.04308,qwen-plus,contract,97.3,99.6,100.0,802,780,228,227,100.0,99.9,,120,21516,15081,0.0474,True
1808.04308,qwen-plus,naive,45.3,21.9,100.0,802,363,228,50,94.8,70.6,,120,17966,12531,0.0394,True
1809.01878,qwen-plus,contract,99.3,100.0,100.0,2073,2058,56,56,99.8,100.0,,69,17437,11779,0.0375,True
1809.01878,qwen-plus,naive,65.9,37.5,100.0,2073,1367,56,21,99.8,84.8,,69,15167,10144,0.0324,True
1810.01747,qwen-plus,contract,96.8,100.0,100.0,1062,1028,437,437,99.9,100.0,,158,19722,11950,0.0397,True
1810.01747,qwen-plus,naive,53.6,38.9,100.0,1062,569,437,170,92.1,68.5,,158,14780,10236,0.0323,True
1812.10968,qwen-plus,contract,93.0,100.0,100.0,270,251,25,25,100.0,100.0,,81,9264,6283,0.02,True
1812.10968,qwen-plus,naive,53.3,24.0,100.0,270,144,25,6,100.0,100.0,,81,8372,5920,0.0185,True
