pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
PMC13167991,kimi-k2.5,contract,100.0,,100.0,109,109,0,0,100.0,,,112,12676,11231,0.0326,True
PMC13167991,minimax-m2.5,contract,100.0,,100.0,109,109,0,0,100.0,,,112,14487,15779,0.0431,True
PMC13168002,qwen3.7-plus-nothink,contract,100.0,,100.0,156,156,0,0,100.0,,,165,20080,16867,0.1614,True
PMC13168002,qwen3-max-2026-01-23,contract,100.0,,100.0,156,156,0,0,100.0,,,165,21234,14763,0.1927,True
PMC13168002,glm-4.7,contract,100.0,,100.0,156,156,0,0,100.0,,,165,19978,16008,0.048,True
PMC13168002,kimi-k2.5,contract,100.0,,100.0,156,156,0,0,100.0,,,165,16572,14644,0.0425,True
PMC13168002,minimax-m2.5,contract,75.6,,100.0,156,118,0,0,100.0,,,165,18935,20626,0.0564,True
PMC13168003,qwen3.7-plus-nothink,contract,100.0,,100.0,140,140,0,0,100.0,,,124,14638,12521,0.119,True
PMC13168003,qwen3-max-2026-01-23,contract,100.0,,100.0,140,140,0,0,100.0,,,124,15315,10972,0.1421,True
PMC13168003,glm-4.7,contract,100.0,,100.0,140,140,0,0,100.0,,,124,14307,11649,0.0347,True
PMC13168003,kimi-k2.5,contract,100.0,,100.0,140,140,0,0,100.0,,,124,11893,10464,0.0304,True
PMC13168003,minimax-m2.5,contract,94.3,,100.0,140,132,0,0,100.0,,,124,13673,15767,0.0425,True
PMC13168004,qwen3.7-plus-nothink,contract,100.0,,100.0,112,112,0,0,100.0,,,92,11847,11002,0.1016,True
PMC13168004,qwen3-max-2026-01-23,contract,100.0,,100.0,112,112,0,0,100.0,,,92,12606,9450,0.121,True
PMC13168004,glm-4.7,contract,99.1,,100.0,112,111,0,0,100.0,,,92,11820,10508,0.0305,True
PMC13168004,kimi-k2.5,contract,100.0,,100.0,112,112,0,0,100.0,,,92,10085,9684,0.0274,True
PMC13168004,minimax-m2.5,contract,100.0,,100.0,112,112,0,0,100.0,,,92,11168,6617,0.0222,True
PMC13168028,qwen3.7-plus-nothink,contract,100.0,,100.0,138,138,0,0,100.0,,,146,12632,10600,0.1015,True
PMC13168028,qwen3-max-2026-01-23,contract,100.0,,100.0,138,138,0,0,100.0,,,146,13289,9068,0.1189,True
PMC13168028,glm-4.7,contract,100.0,,100.0,138,138,0,0,100.0,,,146,12388,9866,0.0296,True
PMC13168028,kimi-k2.5,contract,100.0,,100.0,138,138,0,0,100.0,,,146,10190,8611,0.0254,True
PMC13168028,minimax-m2.5,contract,100.0,,100.0,138,138,0,0,100.0,,,146,11694,14850,0.0391,True
PMC13195546,qwen3.7-plus-nothink,contract,100.0,,100.0,26,26,0,0,100.0,,,65,5441,4848,0.0454,True
PMC13195546,qwen3-max-2026-01-23,contract,100.0,,100.0,26,26,0,0,100.0,,,65,5790,1265,0.026,True
PMC13195546,glm-4.7,contract,100.0,,100.0,26,26,0,0,100.0,,,65,5300,4532,0.0133,True
PMC13195546,kimi-k2.5,contract,100.0,,100.0,26,26,0,0,100.0,,,65,4530,3917,0.0115,True
PMC13195546,minimax-m2.5,contract,100.0,,100.0,26,26,0,0,100.0,,,65,5365,4269,0.0128,True
PMC13195549,qwen3.7-plus-nothink,contract,100.0,,100.0,51,51,0,0,100.0,,,181,12505,9956,0.0973,True
PMC13195549,qwen3-max-2026-01-23,contract,100.0,,100.0,51,51,0,0,100.0,,,181,12976,8110,0.109,True
PMC13195549,glm-4.7,contract,100.0,,100.0,51,51,0,0,100.0,,,181,11722,8737,0.0269,True
PMC13195549,kimi-k2.5,contract,100.0,,100.0,51,51,0,0,100.0,,,181,10012,7581,0.0232,True
PMC13195549,minimax-m2.5,contract,100.0,,100.0,51,51,0,0,100.0,,,181,11412,16040,0.0412,True
PMC13195550,qwen3.7-plus-nothink,contract,100.0,,100.0,73,73,0,0,100.0,,,136,15573,13065,0.1251,True
PMC13195550,qwen3-max-2026-01-23,contract,100.0,,100.0,73,73,0,0,100.0,,,136,15995,11515,0.1489,True
PMC13195550,glm-4.7,contract,100.0,,100.0,73,73,0,0,100.0,,,136,14287,11640,0.0347,True
PMC13195550,kimi-k2.5,contract,100.0,,100.0,73,73,0,0,100.0,,,136,13085,10519,0.0315,True
PMC13195550,minimax-m2.5,contract,100.0,,100.0,73,73,0,0,100.0,,,136,13752,16689,0.0444,True
PMC13195551,qwen3.7-plus-nothink,contract,100.0,,100.0,78,78,0,0,100.0,,,91,13237,12026,0.1119,True
PMC13195551,qwen3-max-2026-01-23,contract,100.0,,100.0,78,78,0,0,100.0,,,91,13818,10638,0.1353,True
PMC13195551,glm-4.7,contract,100.0,,100.0,78,78,0,0,100.0,,,91,12446,11101,0.0322,True
PMC13195551,kimi-k2.5,contract,100.0,,100.0,78,78,0,0,100.0,,,91,11500,10304,0.0298,True
PMC13195551,minimax-m2.5,contract,100.0,,100.0,78,78,0,0,100.0,,,91,12027,13550,0.0367,True
PMC13195552,qwen3.7-plus-nothink,contract,100.0,,100.0,109,109,0,0,100.0,,,111,9180,8487,0.0785,True
PMC13195552,qwen3-max-2026-01-23,contract,100.0,,100.0,109,109,0,0,100.0,,,111,9531,7308,0.093,True
PMC13195552,glm-4.7,contract,100.0,,100.0,109,109,0,0,100.0,,,111,8892,7833,0.0228,True
PMC13195552,kimi-k2.5,contract,63.3,,100.0,109,69,0,0,86.8,,,111,8089,6782,0.02,True
PMC13195552,minimax-m2.5,contract,100.0,,100.0,109,109,0,0,100.0,,,111,8620,11916,0.0307,True
PMC13195557,qwen3.7-plus-nothink,contract,100.0,,100.0,214,214,0,0,100.0,,,263,19630,17697,0.1651,True
PMC13195557,qwen3-max-2026-01-23,contract,100.0,,100.0,214,214,0,0,100.0,,,263,20751,15131,0.1951,True
PMC13195557,glm-4.7,contract,100.0,,100.0,214,214,0,0,100.0,,,263,18895,15916,0.0469,True
PMC13195557,kimi-k2.5,contract,100.0,,100.0,214,214,0,0,100.0,,,263,16647,14276,0.0419,True
PMC13195557,minimax-m2.5,contract,100.0,,100.0,214,214,0,0,100.0,,,263,18595,18319,0.0515,True
PMC13223667,qwen3.7-plus-nothink,contract,100.0,,100.0,75,75,0,0,100.0,,,148,13286,11929,0.1114,True
PMC13223667,qwen3-max-2026-01-23,contract,100.0,,100.0,75,75,0,0,100.0,,,148,13718,10206,0.1309,True
PMC13223667,glm-4.7,contract,100.0,,100.0,75,75,0,0,100.0,,,148,12370,10735,0.0314,True
PMC13223667,kimi-k2.5,contract,100.0,,100.0,75,75,0,0,100.0,,,148,11080,9429,0.0277,True
PMC13223667,minimax-m2.5,contract,100.0,,100.0,75,75,0,0,100.0,,,148,11969,15710,0.041,True
