pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1702.00917,qwen3-max-2026-01-23,contract,98.6,100.0,100.0,2601,2565,1967,1967,99.9,99.9,,101,35465,23026,0.3062,True
1702.00917,glm-4.7,contract,98.8,100.0,100.0,2601,2569,1967,1967,100.0,100.0,,101,34221,22530,0.0724,True
1702.00917,kimi-k2.5,contract,98.7,99.9,100.0,2601,2566,1967,1966,99.9,99.9,,101,30121,20338,0.0648,True
1702.00917,minimax-m2.5,contract,98.3,99.7,100.0,2601,2558,1967,1961,99.8,99.8,,101,51437,37862,0.1169,True
1702.08226,qwen3.7-plus-nothink,contract,98.5,99.9,100.0,3101,3053,885,884,100.0,100.0,,157,19763,13852,0.1424,True
1702.08226,qwen3-max-2026-01-23,contract,98.4,99.8,100.0,3101,3052,885,883,100.0,99.9,,157,19587,12459,0.1666,True
1702.08226,glm-4.7,contract,98.4,99.8,100.0,3101,3052,885,883,100.0,99.9,,157,19090,12848,0.041,True
1702.08226,kimi-k2.5,contract,99.2,99.9,100.0,3101,3075,885,884,100.0,100.0,,157,16004,12904,0.0386,True
1702.08226,minimax-m2.5,contract,98.7,99.9,100.0,3101,3060,885,884,100.0,100.0,,157,19020,19998,0.0552,True
1703.01203,qwen3.7-plus-nothink,contract,99.4,100.0,100.0,1411,1403,296,296,100.0,99.8,,61,9018,5969,0.0629,True
1703.01203,qwen3-max-2026-01-23,contract,99.2,99.0,100.0,1411,1400,296,293,99.8,99.3,,61,8935,5769,0.0768,True
1703.01203,glm-4.7,contract,99.2,99.0,100.0,1411,1400,296,293,99.8,98.8,,61,8691,5664,0.0183,True
1703.01203,kimi-k2.5,contract,99.4,100.0,100.0,1411,1403,296,296,100.0,100.0,,61,7672,8880,0.0239,True
1703.01203,minimax-m2.5,contract,99.5,99.7,100.0,1411,1404,296,295,100.0,99.8,,61,8470,9198,0.0252,True
1703.03328,qwen3.7-plus-nothink,contract,98.3,100.0,100.0,520,511,187,187,99.9,99.8,,33,8778,6235,0.0637,True
1703.03328,qwen3-max-2026-01-23,contract,98.3,100.0,100.0,520,511,187,187,99.4,98.0,,33,8769,6371,0.0822,True
1703.03328,glm-4.7,contract,97.5,100.0,100.0,520,507,187,187,98.6,99.8,,33,8516,5997,0.0188,True
1703.03328,kimi-k2.5,contract,99.0,100.0,100.0,520,515,187,187,100.0,100.0,,33,7805,5915,0.0181,True
1703.03328,minimax-m2.5,contract,97.5,100.0,100.0,520,507,187,187,99.4,99.9,,33,8407,9820,0.0264,True
1704.04851,qwen3.7-plus-nothink,contract,98.4,99.8,100.0,4274,4207,1201,1198,99.8,99.6,,245,34271,23228,0.2422,True
1704.04851,qwen3-max-2026-01-23,contract,98.3,99.4,100.0,4274,4200,1201,1194,99.8,99.6,,245,34139,21634,0.2896,True
1704.04851,glm-4.7,contract,98.4,99.5,100.0,4274,4205,1201,1195,99.8,99.7,,245,33124,21494,0.0695,True
1704.04851,kimi-k2.5,contract,94.1,93.5,100.0,4274,4021,1201,1123,98.2,96.6,,245,26263,19310,0.0596,True
1704.04851,minimax-m2.5,contract,98.1,99.7,100.0,4274,4194,1201,1197,99.9,99.9,,245,32676,39991,0.1061,True
1704.07635,qwen3.7-plus-nothink,contract,94.4,100.0,100.0,1156,1091,242,242,100.0,99.9,,188,32106,19088,0.2108,True
1704.07635,qwen3-max-2026-01-23,contract,94.2,99.2,100.0,1156,1089,242,240,100.0,99.9,,188,31937,18026,0.2497,True
1704.07635,glm-4.7,contract,94.4,100.0,100.0,1156,1091,242,242,100.0,99.9,,188,31128,17442,0.0598,True
